,PER,LOC,ORG,DAT
0, جیمی ولز لری سنگر, تامپا فلوریدا, بنیاد ویکی‌مدیا, از پایان آوریل ۲۰۰۷
1, ریچارد استالمن, آمستردام سئول, بومیس, تا دسامبر ۲۰۱۵ آذر ۱۳۹۴
2, وارد کانینگهام, فلوریدا, بنیاد نرم‌افزارهای آزاد, در تاریخ ۹ مارس ۲۰۰۰ میلادی ۱۹ اسفند ۱۳۷۸
3, جیمی ولز, پایگاه داده, آنارشیسم, ماه‌های اول
4, طاها یاسری, فرانسه, روزنامه گاردین, سال اول
5, لری سانگر, هلند کره جنوبی, مایکروسافت انکارتا, تا پایان سال ۲۰۰۲ پایان سال ۲۰۰۳
6, تونی بلر, آمریکای شمالی, و مایکروسافت, در سال ۲۰۰۳
7, لری سنگر, سرزمین فلسطین, دانشگاه ایندیانا, در تاریخ ۲۱ ژوئن ۲۰۰۳ میلادی ۳۰ خرداد ۱۳۸۲
8, لارنس لسیگ, همه جا, جنبش سبز, در دسامبر ۲۰۰۲ یک هفته بعد در ماه بعد
9, استاد سخن شیخ اجل, منطقه خاورمیانه, خبرگزاری فرانسه, در تاریخ ۲۲ ژانویه ۲۰۰۳ میلادی ۲ بهمن ۱۳۸۱
10, محمد, شیراز, مجله تایم, در سال ۲۰۰۴ میلادی
11, غزلیات سعدی عرفان, سعدیه, سازمان ملل متحد, در ۲۵ فوریه ۲۰۰۴ میلادی ۶ اسفند ۱۳۸۲
12, محمدعلی جمالزاده ابراهیم گلستان, مدرسه, بنیاد نرم‌افزار آزاد, در تاریخ ۲۰ سپتامبر ۲۰۰۴ میلادی ۲۹ شهریور ۱۳۸۳
13, جلال‌الدین تاج محمدرضا شجریان غلامحسین بنان, ایران, فرهنگ آزاد, تا ۲ اردیبهشت ۱۳۹۱
14, چنگیزخان هولاکوخان, ایران عراق, کرییتیو کامنز, تا تاریخ ۱۸ اکتبر ۲۰۱۳ ۲۶ مهر ۱۳۹۲
15, هولاکوخان, اصفهان هند, جنبش فرهنگ آزاد, تا آذر ۱۳۹۴ دسامبر ۲۰۱۵
16, مستعصم, ایلخانان, تاریخ, ژانویه ۲۰۰۲
17, ابوحامد محمد غزالی, بغداد, نظامیه بغداد, تا سال ۲۰۰۴
18, عبدالقادر گیلانی شهاب‌الدین عمر سهروردی, شیراز تفرش, وزیر دربار, در ژانویه ۲۰۰۵
19, طغرل‌بیگ خواجه نظام‌الملک طوسی, سلجوقیان ایلخانان, جامعه, در ماه دسامبر ۲۰۰۵ در روز پنج
20, سنایی عطار نیشابوری مولوی, سلجوقیان, همجنس‌گرایی, ربع چهارم سال ۲۰۰۵
21, عرفان, عراق عجم, دیوان اشعار, سال ۲۰۰۷
22, عطار نیشابوری خاقانی نظامی گنجوی مولوی حافظ, شیراز بغداد, دیوان غربی شرقی, در سال ۲۰۱۲
23, عباس اقبال آشتیانی, مدارس نظامیه اسماعیلیه, امپراتوری عثمانی, در سال ۱۹۶۷
24, قطب‌الدین شیرازی, بوستان سعدی مدرسه نظامیه, جنبش مشروطه ایران, سال ۲۰۰۴
25, سلطان محمد خوارزمشاه سلطان غیاث‌الدین خوارزمشاه جلال‌الدین خوارزمشاه, دمشق بعلبک, انجمن آثار ملی ایران, در اواخر سال ۲۰۰۴
26, جوزی ابن جوزی ابن جوزی شهاب‌الدین عمر سهروردی, بوستان سعدی, انجمن آثار و مفاخر فرهنگی, در سال ۲۰۰۴
27, ذبیح‌الله صفا, آذربایجان, فرهنگستان زبان و ادب فارسی, در ماه مه سال ۲۰۰۵ خرداد ۱۳۸۴
28, محمدعلی همایون کاتوزیان, یمن, عثمانی, در اکتبر ۲۰۰۴ مهر ۱۳۸۳
29, عطاملک جوینی, دمشق, دانشگاه کمبریج, در سالهای اخیر
30, اباقاخان, حلب, علوم انسانی, در سال ۲۰۰۹ میلادی
31, شیخ صفی‌الدین اردبیلی, کاشغر ختای, انجمن سلطنتی, در سال ۲۰۱۳
32, محمدابراهیم باستانی پاریزی مستعصم عباسی, کاشغر, مدرک دانشگاهی دانشگاه کمبریج, در ژوئیه ۲۰۱۳
33, سعید نفیسی, مدارس نظامیه, انجمن سلطنتی بریتانیا, از ساعت ۸ بامداد روز شنبه ۲۹ آوریل ۹ اردیبهشت
34, آنری ماسه علی‌اصغر حکمت محمد خزائلی, پاکستان هند, سازمان ملل, در ماه می ۲۰۰۴ خرداد ۸۳
35, ضیاء موحد, تبریز, آستان قدس رضوی, در سال ۲۰۰۶
36, علاءالدین محمد خوارزمشاه, زاویه, اصولگرایان مجلس شورای اسلامی, سال ۲۰۰۶ سال
37, محمد قاضی نورالله شوشتری, چکسلواکی, مجلس شورای اسلامی دولت سیدمحمد خاتمی, سال بعد قرن
